drugs_CUI,Name
C1456821,Aciclovir Alonga
C0050558,acipimox
C2699758,aclidinium bromide
C4317155,Acotiamide
C0054340,acrivastine
C0001465,adenosine monophosphate
C2607750,afamelanotide
C2987648,afatinib
C1137427,agalsidase beta
C0540776,alatrofloxacin
C2607479,albiglutide
C4084478,albutrepenonacog alfa
C2348241,alcaftadine
C0001937,alclofenac
C0051113,alclometasone dipropionate
C0218986,aldesleukin
C0771311,alendronic acid
C0051150,alfuzosin
C0002371,aluminum hydroxide
C0102139,alglucerase
C1695579,alglucosidase alfa
C0041031,trimeprazine
C3653189,Alipogene tiparvovec
C3491162,alirocumab
C0002083,allantoin
C4522682,almasilate anhydrous
C0002164,almitrine
C1958126,alogliptin
C4055478,alpelisib
C0002333,alprazolam
C0019453,altretamine
C0725101,"alum, potassium"
C0102840,aluminum chloride
C0051511,aluminum chlorohydrate
C0051510,aluminum acetate
C1508750,alvimopan
C0002412,ambenonium
C0002421,ambroxol
C0051556,amcinonide
C2983876,Amenamevir
C0002658,amphetamine
C0046948,amifampridine
C0002499,amikacin
C0002502,amiloride
C0051607,amineptin
C3652632,amino(diphenylhydantoin) valeric acid
C0000473,4-aminobenzoic acid
C0002555,aminoglutethimide
C0002563,aminolevulinic acid
C0103045,amisulpride
C0103049,amlexanox
C0002607,ammonia
C0002615,ammonium chloride
C0718495,ammonium lactate
C0002640,amobarbital
C0002644,amoxapine
C0002645,amoxicillin
C0002679,amphotericin B
C0002680,ampicillin
C0754188,amprenavir
C0002697,inamrinone
C0002711,amyl nitrite
C3272640,anagliptin
C0290883,anastrozole
C4079904,andexanet alfa
C0038148,Dihydrotestosterone
C1693912,Anecortave
C0003001,Angiotensin Amide
C0003143,antazoline
C4329353,apalutamide
C2346836,apatinib
C0048038,apraclonidine
C1176306,aprepitant
C0003639,aprindine
C0051241,aprobarbital
C0003641,aprotinin
C0165312,aranidipine
C0969589,arformoterol
C4056439,aripiprazole lauroxil
C1701455,armodafinil
C0052416,arsenic trioxide
C2828299,artenimol
C2000088,asenapine
C3490795,asfotase alfa
C0004015,aspartic acid
C0085170,astemizole
C3491974,asunaprevir
C2930764,ataluren
C1145759,atazanavir
C4055433,atezolizumab
C0165603,atovaquone
C0018033,aurothioglucose
C2698280,avanafil
C4743552,avapritinib
C3886460,avatrombopag
C4055417,avelumab
C3489748,avibactam
C1700874,axitinib
C0052752,azapetine
C0003524,apazone
C0052759,azatadine
C0052761,azelaic acid
C0052762,azelastine
C0753287,azelnidipine
C0052772,azidocillin
C2698291,azilsartan medoxomil
C0052796,azithromycin
C0004499,azlocillin
C0052820,azosemide
C0004521,aztreonam
C0052865,bacampicillin
C0004599,bacitracin
C4688747,baloxavir marboxil
C0052940,balsalazide
C0052946,bamipine
C0004743,barbital
C0676831,basiliximab
C2346970,bazedoxifene
C0379135,becaplermin
C4045497,Beclabuvir
C1664205,bedaquiline
C0053071,befunolol
C1619962,belatacept
C1948068,belinostat
C0762737,belotecan
C0916062,bemiparin
C0053091,benazepril
C0004969,bencyclane
C0525079,bendamustine
C0004975,bendroflumethiazide
C0053105,benfluorex
C0053111,benoxaprofen
C0005013,benperidol
C0772056,benproperine
C2982078,benralizumab
C0005025,benzalkonium
C0030829,penicillin G benzathine
C0005098,benztropine
C0005035,benzbromarone
C0005041,benzethonium
C0005059,benzocaine
C0053225,benzoic acid
C0005070,benzoin resin
C0053229,benzonatate
C0005096,benzphetamine
C0053284,benzquinamide
C0005099,benzydamine
C0005100,benzyl alcohol
C2743630,"benzathine benzylpenicillin, procaine benzylpenicillin, benzylpenicillin sodium drug combination"
C2698371,bepotastine
C0005116,bepridil
C0105750,beractant
C0053336,beraprost
C2351042,besifloxacin
C0005304,betaine
C0005310,betamethasone acetate
C0005311,betamethasone benzoate
C0053523,betamethasone dipropionate
C0750848,betamethasone valerate
C0005320,betaxolol
C0053526,bethanechol
C2698385,betrixaban
C4291320,bezlotoxumab
C4507568,bictegravir
C0106291,bifemelane
C1101148,bilastine
